01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00112000|MAGYAR SZOCIALISTA PÁRT       |046|    MOLNÁR JÁNOS                        |3|nem nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00112000|MAGYAR SZOCIALISTA PÁRT       |047|    SCHMIDT TERÉZ                       |3|nem nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00112000|MAGYAR SZOCIALISTA PÁRT       |048|    ESZE TAMÁS                          |3|nem nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00112000|MAGYAR SZOCIALISTA PÁRT       |049|    MAROSÁN JÚLIA                       |3|nem nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00112000|MAGYAR SZOCIALISTA PÁRT       |050|    POÓR ISTVÁN                         |3|nem nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00112000|MAGYAR SZOCIALISTA PÁRT       |051|    TROVENCSÁK IVÁN                     |3|nem nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00112000|MAGYAR SZOCIALISTA PÁRT       |052|    SZÉCHY ATTILA                       |3|nem nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00112000|MAGYAR SZOCIALISTA PÁRT       |053|    NAGY ANDRÁS                         |3|nem nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00112000|MAGYAR SZOCIALISTA PÁRT       |054|    FÜRST GYÖRGY                        |3|nem nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00112000|MAGYAR SZOCIALISTA PÁRT       |055|DR. KOMÁR GÁBOR                         |3|nem nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00112000|MAGYAR SZOCIALISTA PÁRT       |056|    BÓDÁS SÁNDOR                        |3|nem nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00112000|MAGYAR SZOCIALISTA PÁRT       |057|    SZABÓ GYULA                         |3|nem nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00112000|MAGYAR SZOCIALISTA PÁRT       |058|    BUDAI TAMÁS                         |3|nem nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00112000|MAGYAR SZOCIALISTA PÁRT       |059|    FEJES ISTVÁN                        |3|nem nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00112000|MAGYAR SZOCIALISTA PÁRT       |060|    DOMJÁN KATALIN                      |3|nem nyert
