1|01|BUDAPEST                 |25|    |FRAJNA IMRE                                                 |00004129|FIATAL DEMOKRATÁK SZÖVETSÉGE  
1|01|BUDAPEST                 |25|    |VÖRÖSNÉ           DR. BÁNK JUDIT                            |00003093|MAGYAR SZOCIALISTA PÁRT       
1|01|BUDAPEST                 |26|    |OZSVÁR ZOLTÁN                                               |00002114|FÜGG.KISGAZDA FÖLDM. POLG. P. 
1|01|BUDAPEST                 |26|    |DÉNES JÁNOS                                                 |00007952|MAGYAR DEMOKRATA FÓRUM        
1|01|BUDAPEST                 |26|    |SONNEVEND GYULA                                             |00002045|KERESZTÉNYDEMOKRATA NÉPPÁRT   
1|01|BUDAPEST                 |26|DR. |KATONA BÉLA                                                 |00004691|MAGYAR SZOCIALISTA PÁRT       
1|01|BUDAPEST                 |26|    |SZŐKE KÁROLY                                                |00001529|MO.-I SZOCIÁLDEMOKRATA PÁRT   
1|01|BUDAPEST                 |26|    |FEDÁK ZOLTÁN                                                |00007635|SZABAD DEMOKRATÁK SZÖVETSÉGE  
1|01|BUDAPEST                 |26|    |TERCSÁK TAMÁS                                               |00003136|FIATAL DEMOKRATÁK SZÖVETSÉGE  
1|01|BUDAPEST                 |27|DR. |SZELECZKY ZOLTÁN                                            |00008465|MAGYAR DEMOKRATA FÓRUM        
1|01|BUDAPEST                 |27|    |MEDVECZKY MÁRTON                                            |00002526|FÜGG.KISGAZDA FÖLDM. POLG. P. 
1|01|BUDAPEST                 |27|DR. |SOMOGYI JÁNOS                                               |00008144|SZABAD DEMOKRATÁK SZÖVETSÉGE  
1|01|BUDAPEST                 |27|    |KUN JÓZSEF                                                  |00001405|VÁLLALKOZÓK PÁRTJA            
1|01|BUDAPEST                 |27|    |ÁNGYÁN ISTVÁN                                               |00001587|MO.-I SZOCIÁLDEMOKRATA PÁRT   
1|01|BUDAPEST                 |27|    |KENYERES ÁRPÁD                                              |00003608|MAGYAR SZOCIALISTA PÁRT       
1|01|BUDAPEST                 |27|DR. |NAGY GÁBOR TAMÁS                                            |00003777|FIATAL DEMOKRATÁK SZÖVETSÉGE  
1|01|BUDAPEST                 |27|DR. |FARKAS ZOLTÁNNÉ   DR.TAKÁCS VERONIKA                        |00001952|KERESZTÉNYDEMOKRATA NÉPPÁRT   
1|01|BUDAPEST                 |27|    |HASELBAUERNÉ MOLNÁMÁRIA ZSUZSANNA                           |00001207|FÜGGETLEN JELÖLT              
1|01|BUDAPEST                 |28|    |HEFTER JÓZSEF                                               |00001387|HAZAFIAS VÁLASZTÁSI KOALÍCIÓ  
1|01|BUDAPEST                 |28|DR. |FODOR ANDRÁS      ATTILA                                    |00011422|MAGYAR DEMOKRATA FÓRUM        
1|01|BUDAPEST                 |28|DR. |JÓKAI OSZKÁR                                                |00002022|FÜGGETLEN JELÖLT              
